Hard,Clay,Carpet,Grass,best_of,minutes,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stWon,opp_2ndWon,opp_bpSaved,opp_bpFaced
0.0,0.0,1.0,0.0,1.0,139.0,0.0,196.0,24.9,19.0,4.0,123.0,59.0,18.0,7.0,11.0
0.0,0.0,1.0,0.0,1.0,252.0,0.0,180.0,26.3,7.0,2.0,157.0,59.0,41.0,5.0,8.0
0.0,0.0,1.0,0.0,1.0,300.0,0.0,183.0,22.0,6.0,8.0,225.0,82.0,58.0,12.0,17.0
0.0,0.0,0.0,1.0,1.0,96.0,0.0,190.0,20.3,6.0,4.0,97.0,37.0,11.0,11.0,17.0
0.0,0.0,0.0,1.0,1.0,281.0,0.0,185.0,28.7,12.0,2.0,181.0,88.0,34.0,1.0,4.0
0.0,0.0,0.0,1.0,1.0,102.0,0.0,198.0,18.9,1.0,1.0,71.0,24.0,12.0,0.0,6.0
0.0,0.0,0.0,1.0,1.0,231.0,0.0,185.0,23.4,3.0,6.0,145.0,57.0,28.0,8.0,14.0
0.0,0.0,0.0,1.0,1.0,138.0,0.0,190.0,30.9,2.0,7.0,114.0,45.0,19.0,12.0,17.0
0.0,0.0,0.0,1.0,1.0,132.0,0.0,175.0,25.4,5.0,1.0,97.0,43.0,10.0,5.0,11.0
0.0,0.0,0.0,1.0,1.0,81.0,0.0,183.0,27.2,1.0,4.0,69.0,17.0,12.0,7.0,15.0
0.0,0.0,0.0,1.0,1.0,121.0,1.0,188.0,25.3,5.0,6.0,90.0,34.0,12.0,9.0,15.0
0.0,0.0,0.0,1.0,1.0,165.0,0.0,173.0,25.4,1.0,4.0,121.0,41.0,27.0,8.0,15.0
0.0,0.0,0.0,1.0,0.0,140.0,0.0,198.0,27.2,7.0,0.0,99.0,55.0,12.0,2.0,4.0
0.0,0.0,0.0,1.0,0.0,66.0,1.0,183.0,25.1,1.0,2.0,55.0,22.0,2.0,4.0,9.0
0.0,0.0,0.0,1.0,0.0,88.0,0.0,193.0,24.1,12.0,2.0,69.0,36.0,7.0,6.0,9.0
0.0,0.0,0.0,1.0,0.0,81.0,0.0,196.0,23.0,1.0,3.0,49.0,18.0,10.0,0.0,3.0
