,index,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
64,K435,4620,1746,0.6,0.72,0.54,4999,0.63,10021,0.81,0.65,0.29,0.5,5576,0.4,10117,0.22,0.37,0.51
65,KB05,1016,443,0.64,0.68,0.51,1630,0.61,2681,0.76,0.62,0.28,0.51,1511,0.42,2682,0.23,0.37,0.5
66,k540,997,916,0.62,0.69,0.48,1565,0.58,2543,0.74,0.61,0.29,0.49,1386,0.4,2551,0.22,0.37,0.49
67,K926,1143,558,0.61,0.66,0.51,2862,0.6,4335,0.74,0.6,0.28,0.51,2385,0.41,4399,0.22,0.37,0.49
68,ke17,4367,1025,0.66,0.77,0.53,1360,0.67,3920,0.89,0.69,0.24,0.47,1616,0.39,3908,0.16,0.33,0.51
69,L987,1334,647,0.66,0.68,0.52,2515,0.6,4372,0.77,0.62,0.28,0.49,2326,0.39,4392,0.21,0.36,0.49
70,l397,10174,3365,0.58,0.76,0.51,5949,0.65,12609,0.84,0.66,0.26,0.44,5467,0.35,12661,0.15,0.33,0.5
71,ME82,2425,1335,0.6,0.7,0.51,3676,0.59,6235,0.76,0.62,0.28,0.5,3316,0.41,6281,0.22,0.37,0.49
72,MB02,2019,858,0.62,0.69,0.5,3203,0.58,5567,0.76,0.62,0.29,0.5,3187,0.41,5640,0.23,0.37,0.49
73,MM58,2932,1228,0.6,0.75,0.52,1940,0.63,4353,0.84,0.66,0.31,0.54,2733,0.42,4358,0.26,0.39,0.52
74,MA21,1305,1125,0.68,0.65,0.53,4080,0.57,6851,0.74,0.61,0.33,0.52,4752,0.43,6896,0.29,0.41,0.51
75,MC65,6684,2929,0.62,0.73,0.5,5077,0.62,10151,0.81,0.64,0.32,0.49,6220,0.41,10144,0.25,0.39,0.51
76,M824,1821,1713,0.6,0.69,0.49,3766,0.58,6199,0.75,0.61,0.29,0.5,3565,0.39,6261,0.22,0.37,0.49
77,MW02,195,296,0.68,0.65,0.48,762,0.56,1153,0.71,0.6,0.3,0.5,696,0.39,1175,0.23,0.38,0.49
78,MA30,5427,1467,0.61,0.78,0.5,2388,0.67,5259,0.85,0.67,0.24,0.45,2023,0.34,5213,0.13,0.32,0.5
79,mc10,6203,2305,0.58,0.74,0.52,5473,0.62,11320,0.82,0.65,0.33,0.55,8021,0.43,11223,0.31,0.41,0.53
80,M0EJ,239,182,0.65,0.67,0.5,620,0.58,1058,0.76,0.61,0.3,0.5,595,0.4,1065,0.23,0.37,0.49
81,n409,3896,2093,0.68,0.72,0.57,6353,0.66,14889,0.86,0.67,0.34,0.55,11007,0.45,14741,0.34,0.42,0.55
82,N289,2176,1488,0.65,0.68,0.5,5134,0.6,8544,0.76,0.62,0.3,0.52,5057,0.42,8519,0.25,0.38,0.5
83,N552,2036,1615,0.61,0.7,0.53,3944,0.61,7572,0.8,0.64,0.31,0.53,5076,0.41,7621,0.27,0.4,0.52
84,N771,1115,710,0.65,0.7,0.5,1606,0.62,2911,0.79,0.63,0.3,0.51,1691,0.42,2912,0.25,0.38,0.51
85,PD31,4497,2754,0.52,0.74,0.45,4252,0.6,6586,0.74,0.6,0.31,0.49,3880,0.4,6608,0.23,0.38,0.49
86,pb22,220,161,0.58,0.68,0.49,417,0.59,622,0.72,0.6,0.26,0.47,307,0.36,639,0.17,0.34,0.47
87,PD07,2645,980,0.58,0.76,0.5,1669,0.63,3553,0.83,0.65,0.26,0.45,1437,0.37,3502,0.15,0.33,0.49
88,PF39,1962,981,0.56,0.73,0.51,1859,0.63,3375,0.8,0.63,0.27,0.48,1659,0.39,3359,0.19,0.35,0.5
89,Q927,8860,2377,0.59,0.79,0.5,3664,0.63,9034,0.85,0.67,0.27,0.46,4138,0.37,8912,0.17,0.34,0.51
90,R772,1827,1343,0.62,0.68,0.52,4005,0.61,6614,0.76,0.62,0.3,0.5,3809,0.41,6675,0.23,0.38,0.5
91,r975,8136,1718,0.63,0.81,0.55,2008,0.7,6904,0.91,0.72,0.27,0.46,3031,0.36,6820,0.16,0.34,0.52
92,R612,439,486,0.53,0.69,0.47,967,0.56,1386,0.69,0.58,0.28,0.51,760,0.4,1407,0.22,0.37,0.48
93,r419,3234,2041,0.65,0.69,0.52,5859,0.61,10649,0.78,0.63,0.31,0.51,6612,0.41,10721,0.25,0.39,0.51
94,R685,1712,877,0.58,0.72,0.5,1862,0.63,3228,0.79,0.63,0.26,0.46,1466,0.36,3226,0.17,0.34,0.49
95,RE44,2152,916,0.6,0.74,0.5,2004,0.62,4035,0.81,0.65,0.3,0.53,2493,0.4,4050,0.25,0.39,0.52
96,RH16,1074,491,0.65,0.72,0.54,1207,0.63,2683,0.83,0.66,0.29,0.51,1533,0.4,2618,0.24,0.37,0.52
97,SL08,1040,331,0.61,0.73,0.48,861,0.61,1589,0.79,0.63,0.26,0.47,708,0.37,1585,0.16,0.34,0.49
98,SM37,819,1193,0.63,0.66,0.5,3157,0.57,4933,0.72,0.6,0.34,0.55,3677,0.44,4995,0.32,0.42,0.51
99,sa93,3800,2117,0.58,0.7,0.5,5710,0.6,9634,0.76,0.62,0.29,0.5,5473,0.41,9739,0.23,0.38,0.5
100,SU55,2201,1429,0.59,0.76,0.52,1660,0.66,3471,0.84,0.66,0.28,0.48,1774,0.37,3465,0.19,0.36,0.51
101,SD32,3744,2019,0.57,0.69,0.51,6467,0.6,10777,0.76,0.62,0.31,0.52,6717,0.42,10686,0.27,0.4,0.51
102,S0AG,770,357,0.6,0.72,0.53,1073,0.65,2042,0.81,0.64,0.32,0.52,1248,0.43,2033,0.26,0.39,0.52
103,SM25,2124,1366,0.59,0.74,0.53,1958,0.63,4069,0.82,0.65,0.27,0.48,2020,0.39,4079,0.19,0.35,0.5
104,sa49,3893,1372,0.61,0.76,0.52,2513,0.63,5703,0.84,0.66,0.3,0.51,3154,0.43,5597,0.24,0.38,0.52
105,SU87,1062,346,0.65,0.72,0.51,1090,0.63,2197,0.81,0.65,0.29,0.46,1090,0.37,2182,0.19,0.35,0.5
106,sh90,1543,936,0.61,0.7,0.49,3116,0.58,5223,0.75,0.62,0.29,0.48,2973,0.37,5258,0.21,0.37,0.49
107,s694,4111,2017,0.62,0.73,0.51,4062,0.62,8093,0.81,0.64,0.3,0.5,4562,0.4,8130,0.23,0.38,0.51
108,SL28,3152,1303,0.56,0.76,0.5,2196,0.61,4401,0.8,0.64,0.27,0.49,2243,0.37,4410,0.19,0.35,0.5
109,TB69,2777,1334,0.6,0.74,0.53,2825,0.63,6061,0.83,0.66,0.3,0.5,3633,0.39,6080,0.23,0.38,0.51
110,T742,3448,1244,0.56,0.74,0.52,3156,0.61,6162,0.8,0.64,0.27,0.5,3322,0.4,6178,0.21,0.37,0.5
111,TA46,2739,609,0.66,0.71,0.5,2396,0.64,4480,0.81,0.64,0.25,0.48,2109,0.36,4426,0.17,0.34,0.49
112,t840,4229,1338,0.61,0.72,0.47,3697,0.6,6455,0.77,0.63,0.3,0.49,3697,0.41,6496,0.23,0.38,0.5
113,TE51,2443,781,0.62,0.76,0.55,1760,0.65,4430,0.86,0.68,0.29,0.49,2304,0.4,4335,0.21,0.36,0.52
114,T786,6643,1628,0.62,0.78,0.53,3476,0.67,8744,0.87,0.68,0.29,0.47,4355,0.4,8669,0.2,0.36,0.52
115,V708,2229,1064,0.64,0.73,0.51,1818,0.63,3562,0.81,0.65,0.27,0.47,1756,0.37,3574,0.18,0.35,0.5
116,W367,5997,2150,0.58,0.74,0.54,5250,0.64,10918,0.83,0.65,0.3,0.49,6191,0.39,10740,0.23,0.37,0.51
117,Y061,3503,2326,0.61,0.69,0.51,6214,0.6,10851,0.77,0.62,0.3,0.51,6639,0.41,10825,0.25,0.39,0.51
118,Z168,1643,725,0.64,0.69,0.49,2390,0.6,3917,0.76,0.62,0.29,0.47,2031,0.38,3980,0.2,0.36,0.49
119,z355,3974,1973,0.65,0.74,0.5,2709,0.61,6037,0.82,0.66,0.31,0.51,3631,0.42,6045,0.25,0.38,0.52
