,Unnamed: 0,Year,tourney_id,tourney_name,Hard,Clay,Carpet,Grass,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Target
28,28,2006,2006-1536,Madrid Masters,0.0,0.0,0.0,1.0,48,M,20061016,38,104925,Novak Djokovic,1.0,188.0,SRB,19.4,104918,Andy Murray,0.0,190.0,GBR,19.4,1-6 7-5 6-3,3,R16,131.0,3.0,3.0,90.0,49.0,35.0,21.0,14.0,4.0,7.0,5.0,2.0,86.0,39.0,27.0,27.0,14.0,3.0,6.0,17.0,1360.0,19.0,1295.0,True
29,29,2006,2006-1536,Madrid Masters,0.0,0.0,0.0,1.0,48,M,20061016,43,103602,Fernando Gonzalez,1.0,183.0,CHI,26.2,104925,Novak Djokovic,0.0,188.0,SRB,19.4,7-5 5-7 7-5,3,QF,141.0,8.0,4.0,97.0,55.0,45.0,22.0,18.0,2.0,5.0,5.0,3.0,108.0,75.0,52.0,16.0,18.0,7.0,11.0,10.0,1965.0,17.0,1360.0,False
30,30,2006,2006-2276,Zagreb,1.0,0.0,0.0,0.0,32,A,20060130,6,104925,Novak Djokovic,1.0,188.0,SRB,18.6,103503,Robin Vik,0.0,183.0,CZE,25.9,6-1 7-5,3,R32,79.0,4.0,2.0,65.0,37.0,27.0,15.0,10.0,5.0,7.0,3.0,8.0,68.0,33.0,17.0,16.0,9.0,6.0,11.0,81.0,487.0,59.0,605.0,True
31,31,2006,2006-2276,Zagreb,1.0,0.0,0.0,0.0,32,A,20060130,19,104925,Novak Djokovic,1.0,188.0,SRB,18.6,103285,Radek Stepanek,0.0,185.0,CZE,27.1,6-3 6-4,3,R16,83.0,7.0,3.0,60.0,33.0,26.0,15.0,10.0,1.0,2.0,4.0,2.0,53.0,34.0,22.0,9.0,9.0,4.0,7.0,81.0,487.0,21.0,1400.0,True
32,32,2006,2006-2276,Zagreb,1.0,0.0,0.0,0.0,32,A,20060130,26,104925,Novak Djokovic,1.0,188.0,SRB,18.6,104592,Ilija Bozoljac,0.0,193.0,SRB,20.4,6-2 6-3,3,QF,60.0,10.0,0.0,49.0,34.0,29.0,9.0,9.0,2.0,2.0,10.0,2.0,44.0,27.0,20.0,7.0,8.0,1.0,4.0,81.0,487.0,215.0,173.0,True
33,33,2006,2006-2276,Zagreb,1.0,0.0,0.0,0.0,32,A,20060130,29,103344,Ivan Ljubicic,1.0,193.0,CRO,26.8,104925,Novak Djokovic,0.0,188.0,SRB,18.6,6-7(6) 6-3 6-4,3,SF,141.0,16.0,3.0,102.0,68.0,59.0,15.0,16.0,3.0,3.0,8.0,4.0,105.0,65.0,47.0,21.0,15.0,8.0,10.0,5.0,2395.0,81.0,487.0,False
34,34,2006,2006-317,Amersfoort,0.0,1.0,0.0,0.0,32,A,20060717,5,104925,Novak Djokovic,1.0,188.0,SRB,19.1,104081,Boris Pashanski,0.0,180.0,SRB,23.7,6-0 6-3,3,R32,82.0,3.0,2.0,55.0,33.0,21.0,14.0,8.0,0.0,1.0,0.0,3.0,60.0,31.0,12.0,15.0,7.0,5.0,10.0,36.0,901.0,73.0,537.0,True
35,35,2006,2006-317,Amersfoort,0.0,1.0,0.0,0.0,32,A,20060717,19,104925,Novak Djokovic,1.0,188.0,SRB,19.1,102720,Tomas Zib,0.0,178.0,CZE,30.4,6-4 6-2,3,R16,86.0,13.0,4.0,61.0,41.0,33.0,11.0,9.0,4.0,4.0,1.0,2.0,73.0,36.0,24.0,17.0,9.0,9.0,12.0,36.0,901.0,127.0,355.0,True
36,36,2006,2006-317,Amersfoort,0.0,1.0,0.0,0.0,32,A,20060717,26,104925,Novak Djokovic,1.0,188.0,SRB,19.1,102967,Marc Gicquel,0.0,188.0,FRA,29.2,6-3 6-4,3,QF,75.0,5.0,3.0,61.0,37.0,30.0,10.0,10.0,2.0,3.0,1.0,2.0,61.0,36.0,27.0,6.0,9.0,4.0,7.0,36.0,901.0,87.0,481.0,True
37,37,2006,2006-317,Amersfoort,0.0,1.0,0.0,0.0,32,A,20060717,29,104925,Novak Djokovic,1.0,188.0,SRB,19.1,103909,Guillermo Coria,0.0,175.0,ARG,24.5,6-2 1-0 RET,3,SF,38.0,2.0,0.0,26.0,17.0,12.0,7.0,5.0,1.0,2.0,0.0,5.0,21.0,9.0,4.0,3.0,4.0,0.0,3.0,36.0,901.0,28.0,1035.0,True
38,38,2006,2006-317,Amersfoort,0.0,1.0,0.0,0.0,32,A,20060717,31,104925,Novak Djokovic,1.0,188.0,SRB,19.1,103454,Nicolas Massu,0.0,183.0,CHI,26.7,7-6(5) 6-4,3,F,162.0,9.0,3.0,68.0,36.0,27.0,16.0,11.0,2.0,4.0,11.0,4.0,89.0,40.0,27.0,25.0,11.0,7.0,10.0,36.0,901.0,37.0,890.0,True
39,39,2006,2006-337,Vienna,0.0,0.0,0.0,1.0,32,A,20061009,4,104925,Novak Djokovic,1.0,188.0,SRB,19.3,102720,Tomas Zib,0.0,178.0,CZE,30.6,6-3 6-4,3,R32,66.0,16.0,2.0,61.0,37.0,34.0,10.0,10.0,3.0,3.0,2.0,0.0,49.0,25.0,21.0,11.0,9.0,1.0,3.0,16.0,1350.0,146.0,310.0,True
40,40,2006,2006-337,Vienna,0.0,0.0,0.0,1.0,32,A,20061009,18,104527,Stan Wawrinka,1.0,183.0,SUI,21.5,104925,Novak Djokovic,0.0,188.0,SRB,19.3,6-3 6-3,3,R16,62.0,7.0,1.0,50.0,28.0,23.0,14.0,9.0,2.0,2.0,1.0,2.0,45.0,26.0,17.0,8.0,9.0,0.0,3.0,44.0,803.0,16.0,1350.0,False
41,41,2006,2006-341,Metz,0.0,0.0,0.0,1.0,32,A,20061002,12,104925,Novak Djokovic,1.0,188.0,SRB,19.3,103917,Nicolas Mahut,0.0,190.0,FRA,24.6,6-2 6-3,3,R32,64.0,4.0,1.0,52.0,27.0,21.0,17.0,9.0,2.0,2.0,4.0,5.0,45.0,25.0,18.0,7.0,8.0,3.0,6.0,22.0,1183.0,67.0,591.0,True
42,42,2006,2006-341,Metz,0.0,0.0,0.0,1.0,32,A,20061002,22,104925,Novak Djokovic,1.0,188.0,SRB,19.3,103110,Daniele Bracciali,0.0,180.0,ITA,28.7,6-0 6-3,3,R16,60.0,8.0,1.0,49.0,32.0,25.0,10.0,8.0,2.0,2.0,4.0,6.0,46.0,21.0,14.0,8.0,7.0,4.0,8.0,22.0,1183.0,66.0,601.0,True
43,43,2006,2006-341,Metz,0.0,0.0,0.0,1.0,32,A,20061002,27,104925,Novak Djokovic,1.0,188.0,SRB,19.3,103424,Tobias Clemens,0.0,185.0,GER,27.1,6-4 6-1,3,QF,59.0,9.0,1.0,47.0,26.0,22.0,13.0,9.0,0.0,1.0,1.0,6.0,50.0,25.0,14.0,12.0,8.0,2.0,6.0,22.0,1183.0,265.0,149.0,True
44,44,2006,2006-341,Metz,0.0,0.0,0.0,1.0,32,A,20061002,30,104925,Novak Djokovic,1.0,188.0,SRB,19.3,103206,Sebastien Grosjean,0.0,175.0,FRA,28.3,6-7(4) 7-6(1) 6-3,3,SF,165.0,6.0,2.0,111.0,69.0,50.0,22.0,17.0,6.0,9.0,10.0,0.0,107.0,57.0,41.0,25.0,16.0,5.0,9.0,22.0,1183.0,35.0,910.0,True
