,Unnamed: 0,Year,tourney_id,tourney_name,Hard,Clay,Carpet,Grass,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Target
552,552,2012,2012-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20120625,1,104925,Novak Djokovic,1.0,188.0,SRB,25.0,103507,Juan Carlos Ferrero,0.0,183.0,ESP,32.3,6-3 6-3 6-1,5,R128,98.0,13.0,3.0,85.0,56.0,47.0,12.0,13.0,7.0,8.0,2.0,2.0,72.0,48.0,27.0,10.0,12.0,5.0,11.0,1.0,12280.0,38.0,1035.0,True
553,553,2012,2012-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20120625,65,104925,Novak Djokovic,1.0,188.0,SRB,25.0,105992,Ryan Harrison,0.0,183.0,USA,20.1,6-4 6-4 6-4,5,R64,116.0,8.0,1.0,85.0,63.0,48.0,18.0,15.0,6.0,6.0,8.0,4.0,88.0,55.0,40.0,16.0,15.0,0.0,3.0,1.0,12280.0,48.0,871.0,True
554,554,2012,2012-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20120625,97,104925,Novak Djokovic,1.0,188.0,SRB,25.0,103285,Radek Stepanek,0.0,185.0,CZE,33.5,4-6 6-2 6-2 6-2,5,R32,169.0,12.0,1.0,96.0,63.0,50.0,20.0,17.0,4.0,5.0,8.0,1.0,143.0,94.0,57.0,19.0,17.0,14.0,20.0,1.0,12280.0,27.0,1340.0,True
555,555,2012,2012-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20120625,113,104925,Novak Djokovic,1.0,188.0,SRB,25.0,104678,Viktor Troicki,0.0,193.0,SRB,26.3,6-3 6-1 6-3,5,R16,90.0,4.0,2.0,70.0,53.0,43.0,9.0,13.0,3.0,4.0,3.0,2.0,73.0,42.0,23.0,13.0,12.0,2.0,8.0,1.0,12280.0,34.0,1190.0,True
556,556,2012,2012-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20120625,121,104925,Novak Djokovic,1.0,188.0,SRB,25.0,104252,Florian Mayer,0.0,190.0,GER,28.7,6-4 6-1 6-4,5,QF,105.0,7.0,3.0,84.0,55.0,42.0,17.0,14.0,7.0,8.0,2.0,1.0,77.0,44.0,27.0,15.0,13.0,4.0,9.0,1.0,12280.0,29.0,1230.0,True
557,557,2012,2012-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20120625,125,103819,Roger Federer,1.0,185.0,SUI,30.8,104925,Novak Djokovic,0.0,188.0,SRB,25.0,6-3 3-6 6-4 6-3,5,SF,139.0,12.0,0.0,101.0,65.0,49.0,26.0,19.0,2.0,3.0,9.0,2.0,115.0,73.0,52.0,24.0,18.0,8.0,11.0,3.0,9435.0,1.0,12280.0,False
558,558,2012,2012-96,London Olympics,0.0,0.0,1.0,0.0,64,A,20120725,32,104925,Novak Djokovic,1.0,188.0,SRB,25.1,104926,Fabio Fognini,0.0,178.0,ITA,25.1,6-7(7) 6-2 6-2,3,R64,112.0,11.0,1.0,86.0,57.0,46.0,17.0,14.0,1.0,2.0,4.0,3.0,102.0,68.0,44.0,14.0,14.0,5.0,10.0,2.0,11000.0,65.0,740.0,True
559,559,2012,2012-96,London Olympics,0.0,0.0,1.0,0.0,64,A,20120725,48,104925,Novak Djokovic,1.0,188.0,SRB,25.1,104053,Andy Roddick,0.0,188.0,USA,29.8,6-2 6-1,3,R32,54.0,14.0,0.0,43.0,29.0,25.0,8.0,8.0,0.0,0.0,5.0,1.0,40.0,24.0,13.0,7.0,7.0,0.0,4.0,2.0,11000.0,22.0,1600.0,True
560,560,2012,2012-96,London Olympics,0.0,0.0,1.0,0.0,64,A,20120725,56,104925,Novak Djokovic,1.0,188.0,SRB,25.1,103720,Lleyton Hewitt,0.0,180.0,AUS,31.4,4-6 7-5 6-1,3,R16,116.0,16.0,3.0,85.0,55.0,44.0,14.0,15.0,2.0,4.0,5.0,1.0,78.0,47.0,35.0,14.0,14.0,3.0,7.0,2.0,11000.0,158.0,330.0,True
561,561,2012,2012-96,London Olympics,0.0,0.0,1.0,0.0,64,A,20120725,60,104925,Novak Djokovic,1.0,188.0,SRB,25.1,104542,Jo-Wilfried Tsonga,0.0,188.0,FRA,27.2,6-1 7-5,3,QF,80.0,4.0,0.0,57.0,43.0,34.0,7.0,10.0,4.0,5.0,4.0,0.0,72.0,47.0,26.0,12.0,9.0,9.0,13.0,2.0,11000.0,6.0,5230.0,True
562,562,2012,2012-96,London Olympics,0.0,0.0,1.0,0.0,64,A,20120725,62,104918,Andy Murray,1.0,190.0,GBR,25.1,104925,Novak Djokovic,0.0,188.0,SRB,25.1,7-5 7-5,3,SF,120.0,6.0,0.0,87.0,55.0,42.0,17.0,12.0,4.0,4.0,3.0,1.0,65.0,40.0,29.0,14.0,12.0,2.0,4.0,4.0,7460.0,2.0,11000.0,False
564,564,2012,2012-421,Canada Masters,0.0,0.0,0.0,1.0,48,M,20120806,17,104925,Novak Djokovic,1.0,188.0,SRB,25.2,106071,Bernard Tomic,0.0,193.0,AUS,19.7,6-2 6-3,3,R32,71.0,7.0,1.0,54.0,36.0,29.0,11.0,9.0,6.0,6.0,4.0,1.0,60.0,39.0,25.0,8.0,8.0,6.0,9.0,2.0,11270.0,49.0,880.0,True
565,565,2012,2012-421,Canada Masters,0.0,0.0,0.0,1.0,48,M,20120806,33,104925,Novak Djokovic,1.0,188.0,SRB,25.2,105023,Sam Querrey,0.0,198.0,USA,24.8,6-4 6-4,3,R16,75.0,5.0,3.0,63.0,39.0,31.0,13.0,10.0,1.0,1.0,3.0,3.0,54.0,29.0,22.0,14.0,10.0,2.0,4.0,2.0,11270.0,35.0,1189.0,True
566,566,2012,2012-421,Canada Masters,0.0,0.0,0.0,1.0,48,M,20120806,41,104925,Novak Djokovic,1.0,188.0,SRB,25.2,103163,Tommy Haas,0.0,188.0,GER,34.3,6-3 3-6 6-3,3,QF,153.0,4.0,2.0,96.0,53.0,39.0,26.0,14.0,7.0,8.0,3.0,6.0,99.0,56.0,37.0,24.0,13.0,8.0,10.0,2.0,11270.0,25.0,1418.0,True
567,567,2012,2012-421,Canada Masters,0.0,0.0,0.0,1.0,48,M,20120806,45,104925,Novak Djokovic,1.0,188.0,SRB,25.2,104386,Janko Tipsarevic,0.0,180.0,SRB,28.1,6-4 6-1,3,SF,106.0,3.0,3.0,62.0,33.0,30.0,14.0,9.0,7.0,7.0,2.0,1.0,69.0,34.0,19.0,18.0,8.0,3.0,6.0,2.0,11270.0,9.0,3320.0,True
568,568,2012,2012-421,Canada Masters,0.0,0.0,0.0,1.0,48,M,20120806,47,104925,Novak Djokovic,1.0,188.0,SRB,25.2,104755,Richard Gasquet,0.0,185.0,FRA,26.1,6-3 6-2,3,F,62.0,5.0,0.0,46.0,31.0,26.0,12.0,9.0,4.0,4.0,3.0,1.0,42.0,25.0,19.0,5.0,8.0,0.0,3.0,2.0,11270.0,21.0,1600.0,True
569,569,2012,2012-422,Cincinnati Masters,0.0,0.0,0.0,1.0,56,M,20120812,40,104925,Novak Djokovic,1.0,188.0,SRB,25.2,104312,Andreas Seppi,0.0,190.0,ITA,28.4,7-6(4) 6-2,3,R32,90.0,6.0,0.0,59.0,34.0,27.0,18.0,10.0,0.0,0.0,3.0,3.0,78.0,41.0,26.0,19.0,10.0,8.0,10.0,2.0,11270.0,27.0,1355.0,True
570,570,2012,2012-422,Cincinnati Masters,0.0,0.0,0.0,1.0,56,M,20120812,48,104925,Novak Djokovic,1.0,188.0,SRB,25.2,103786,Nikolay Davydenko,0.0,178.0,RUS,31.1,6-0 RET,3,R16,33.0,2.0,0.0,19.0,14.0,12.0,1.0,3.0,0.0,0.0,0.0,8.0,27.0,13.0,6.0,4.0,3.0,3.0,6.0,2.0,11270.0,50.0,875.0,True
571,571,2012,2012-422,Cincinnati Masters,0.0,0.0,0.0,1.0,56,M,20120812,52,104925,Novak Djokovic,1.0,188.0,SRB,25.2,105227,Marin Cilic,0.0,198.0,CRO,23.8,6-3 6-2,3,QF,82.0,7.0,2.0,54.0,37.0,31.0,9.0,9.0,4.0,4.0,2.0,0.0,54.0,29.0,17.0,11.0,8.0,4.0,7.0,2.0,11270.0,15.0,2015.0,True
572,572,2012,2012-422,Cincinnati Masters,0.0,0.0,0.0,1.0,56,M,20120812,54,104925,Novak Djokovic,1.0,188.0,SRB,25.2,105223,Juan Martin del Potro,0.0,198.0,ARG,23.8,6-3 6-2,3,SF,88.0,6.0,1.0,61.0,39.0,28.0,14.0,9.0,6.0,6.0,3.0,2.0,48.0,28.0,17.0,9.0,8.0,3.0,6.0,2.0,11270.0,9.0,3305.0,True
573,573,2012,2012-422,Cincinnati Masters,0.0,0.0,0.0,1.0,56,M,20120812,55,103819,Roger Federer,1.0,185.0,SUI,31.0,104925,Novak Djokovic,0.0,188.0,SRB,25.2,6-0 7-6(7),3,F,80.0,8.0,1.0,56.0,33.0,27.0,15.0,9.0,0.0,0.0,2.0,5.0,61.0,35.0,23.0,13.0,9.0,1.0,4.0,1.0,11345.0,2.0,11270.0,False
574,574,2012,2012-560,US Open,0.0,0.0,0.0,1.0,128,G,20120827,64,104925,Novak Djokovic,1.0,188.0,SRB,25.2,103893,Paolo Lorenzi,0.0,183.0,ITA,30.6,6-1 6-0 6-1,5,R128,73.0,7.0,0.0,53.0,42.0,32.0,7.0,10.0,0.0,1.0,0.0,5.0,61.0,32.0,15.0,6.0,10.0,4.0,13.0,2.0,11270.0,69.0,674.0,True
575,575,2012,2012-560,US Open,0.0,0.0,0.0,1.0,128,G,20120827,96,104925,Novak Djokovic,1.0,188.0,SRB,25.2,104297,Rogerio Dutra Silva,0.0,178.0,BRA,28.5,6-2 6-1 6-2,5,R64,99.0,6.0,1.0,62.0,41.0,37.0,12.0,12.0,0.0,0.0,3.0,1.0,85.0,53.0,29.0,14.0,11.0,10.0,16.0,2.0,11270.0,112.0,499.0,True
576,576,2012,2012-560,US Open,0.0,0.0,0.0,1.0,128,G,20120827,112,104925,Novak Djokovic,1.0,188.0,SRB,25.2,103898,Julien Benneteau,0.0,185.0,FRA,30.6,6-3 6-2 6-2,5,R32,97.0,13.0,3.0,66.0,40.0,33.0,19.0,13.0,0.0,0.0,5.0,2.0,76.0,46.0,29.0,12.0,12.0,3.0,8.0,2.0,11270.0,35.0,1075.0,True
577,577,2012,2012-560,US Open,0.0,0.0,0.0,1.0,128,G,20120827,120,104925,Novak Djokovic,1.0,188.0,SRB,25.2,104527,Stan Wawrinka,0.0,183.0,SUI,27.4,6-4 6-1 3-1 RET,5,R16,93.0,4.0,0.0,68.0,45.0,30.0,13.0,11.0,4.0,6.0,5.0,3.0,57.0,23.0,15.0,12.0,10.0,1.0,5.0,2.0,11270.0,19.0,1730.0,True
578,578,2012,2012-560,US Open,0.0,0.0,0.0,1.0,128,G,20120827,124,104925,Novak Djokovic,1.0,188.0,SRB,25.2,105223,Juan Martin del Potro,0.0,198.0,ARG,23.9,6-2 7-6(3) 6-4,5,QF,186.0,7.0,2.0,88.0,50.0,42.0,21.0,15.0,2.0,3.0,8.0,3.0,119.0,78.0,51.0,18.0,15.0,9.0,13.0,2.0,11270.0,8.0,3620.0,True
579,579,2012,2012-560,US Open,0.0,0.0,0.0,1.0,128,G,20120827,126,104925,Novak Djokovic,1.0,188.0,SRB,25.2,103970,David Ferrer,0.0,175.0,ESP,30.4,2-6 6-1 6-4 6-2,5,SF,152.0,7.0,1.0,101.0,60.0,43.0,24.0,17.0,4.0,7.0,2.0,3.0,92.0,55.0,35.0,17.0,16.0,3.0,9.0,2.0,11270.0,5.0,5375.0,True
580,580,2012,2012-560,US Open,0.0,0.0,0.0,1.0,128,G,20120827,127,104918,Andy Murray,1.0,190.0,GBR,25.2,104925,Novak Djokovic,0.0,188.0,SRB,25.2,7-6(10) 7-5 2-6 3-6 6-2,5,F,294.0,5.0,4.0,150.0,99.0,62.0,24.0,25.0,9.0,18.0,7.0,5.0,165.0,103.0,65.0,26.0,24.0,8.0,15.0,4.0,7290.0,2.0,11270.0,False
581,581,2012,2012-747,Beijing,0.0,0.0,0.0,1.0,32,A,20121001,1,104925,Novak Djokovic,1.0,188.0,SRB,25.3,103582,Michael Berrer,1.0,193.0,GER,32.2,6-1 6-7(3) 6-2,3,R32,119.0,6.0,1.0,85.0,58.0,45.0,18.0,14.0,1.0,1.0,7.0,2.0,88.0,62.0,41.0,11.0,13.0,3.0,7.0,2.0,10470.0,123.0,466.0,True
582,582,2012,2012-747,Beijing,0.0,0.0,0.0,1.0,32,A,20121001,17,104925,Novak Djokovic,1.0,188.0,SRB,25.3,104122,Carlos Berlocq,0.0,183.0,ARG,29.6,6-1 6-3,3,R16,75.0,5.0,2.0,53.0,39.0,28.0,5.0,8.0,1.0,3.0,1.0,3.0,62.0,44.0,21.0,6.0,8.0,6.0,12.0,2.0,10470.0,50.0,880.0,True
583,583,2012,2012-747,Beijing,0.0,0.0,0.0,1.0,32,A,20121001,25,104925,Novak Djokovic,1.0,188.0,SRB,25.3,103781,Jurgen Melzer,1.0,183.0,AUT,31.3,6-1 6-2,3,QF,54.0,12.0,3.0,43.0,30.0,24.0,9.0,8.0,2.0,2.0,3.0,0.0,44.0,24.0,14.0,7.0,7.0,0.0,4.0,2.0,10470.0,37.0,997.0,True
584,584,2012,2012-747,Beijing,0.0,0.0,0.0,1.0,32,A,20121001,29,104925,Novak Djokovic,1.0,188.0,SRB,25.3,104252,Florian Mayer,0.0,190.0,GER,28.9,6-1 6-4,3,SF,60.0,7.0,2.0,56.0,40.0,32.0,9.0,9.0,2.0,2.0,0.0,0.0,42.0,31.0,18.0,8.0,8.0,0.0,3.0,2.0,10470.0,29.0,1295.0,True
585,585,2012,2012-747,Beijing,0.0,0.0,0.0,1.0,32,A,20121001,31,104925,Novak Djokovic,1.0,188.0,SRB,25.3,104542,Jo-Wilfried Tsonga,0.0,188.0,FRA,27.4,7-6(4) 6-2,3,F,102.0,1.0,2.0,66.0,39.0,27.0,17.0,10.0,5.0,6.0,9.0,3.0,73.0,43.0,30.0,10.0,10.0,5.0,8.0,2.0,10470.0,7.0,4520.0,True
586,586,2012,2012-5014,Shanghai Masters,0.0,0.0,0.0,1.0,56,M,20121007,40,104925,Novak Djokovic,1.0,188.0,SRB,25.3,105777,Grigor Dimitrov,0.0,188.0,BUL,21.3,6-3 6-2,3,R32,54.0,5.0,0.0,41.0,32.0,29.0,7.0,9.0,0.0,0.0,1.0,3.0,46.0,35.0,24.0,2.0,8.0,2.0,5.0,2.0,10970.0,56.0,751.0,True
587,587,2012,2012-5014,Shanghai Masters,0.0,0.0,0.0,1.0,56,M,20121007,48,104925,Novak Djokovic,1.0,188.0,SRB,25.3,103852,Feliciano Lopez,1.0,188.0,ESP,31.0,6-3 6-3,3,R16,68.0,12.0,1.0,43.0,29.0,27.0,9.0,9.0,0.0,0.0,3.0,2.0,54.0,26.0,20.0,11.0,9.0,4.0,7.0,2.0,10970.0,29.0,1355.0,True
588,588,2012,2012-5014,Shanghai Masters,0.0,0.0,0.0,1.0,56,M,20121007,52,104925,Novak Djokovic,1.0,188.0,SRB,25.3,103163,Tommy Haas,0.0,188.0,GER,34.5,6-3 6-3,3,QF,82.0,4.0,2.0,56.0,37.0,29.0,7.0,9.0,0.0,2.0,2.0,1.0,58.0,35.0,19.0,8.0,9.0,4.0,9.0,2.0,10970.0,21.0,1553.0,True
589,589,2012,2012-5014,Shanghai Masters,0.0,0.0,0.0,1.0,56,M,20121007,54,104925,Novak Djokovic,1.0,188.0,SRB,25.3,104607,Tomas Berdych,0.0,196.0,CZE,27.0,6-3 6-4,3,SF,86.0,5.0,3.0,56.0,42.0,35.0,6.0,10.0,2.0,3.0,4.0,1.0,61.0,34.0,24.0,10.0,9.0,0.0,3.0,2.0,10970.0,7.0,4570.0,True
590,590,2012,2012-5014,Shanghai Masters,0.0,0.0,0.0,1.0,56,M,20121007,55,104925,Novak Djokovic,1.0,188.0,SRB,25.3,104918,Andy Murray,0.0,190.0,GBR,25.4,5-7 7-6(11) 6-3,3,F,201.0,3.0,4.0,104.0,62.0,43.0,20.0,16.0,1.0,6.0,4.0,3.0,128.0,71.0,46.0,26.0,17.0,7.0,13.0,2.0,10970.0,3.0,8090.0,True
591,591,2012,2012-352,Paris Masters,0.0,0.0,0.0,1.0,48,M,20121029,32,105023,Sam Querrey,1.0,198.0,USA,25.0,104925,Novak Djokovic,0.0,188.0,SRB,25.4,0-6 7-6(5) 6-4,3,R32,121.0,18.0,5.0,95.0,55.0,40.0,16.0,14.0,6.0,10.0,8.0,3.0,93.0,57.0,45.0,15.0,14.0,2.0,4.0,23.0,1560.0,2.0,11970.0,False
592,592,2012,2012-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20121105,502,104925,Novak Djokovic,1.0,188.0,SRB,25.4,104542,Jo-Wilfried Tsonga,0.0,188.0,FRA,27.5,7-6(4) 6-3,3,RR,100.0,2.0,1.0,66.0,43.0,35.0,15.0,10.0,3.0,3.0,2.0,0.0,67.0,43.0,32.0,13.0,11.0,1.0,3.0,1.0,11420.0,8.0,3490.0,True
593,593,2012,2012-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20121105,505,104925,Novak Djokovic,1.0,188.0,SRB,25.4,104918,Andy Murray,0.0,190.0,GBR,25.4,4-6 6-3 7-5,3,RR,155.0,4.0,0.0,94.0,57.0,45.0,20.0,16.0,5.0,7.0,9.0,1.0,88.0,52.0,37.0,21.0,15.0,4.0,7.0,1.0,11420.0,3.0,7600.0,True
594,594,2012,2012-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20121105,509,104925,Novak Djokovic,1.0,188.0,SRB,25.4,104607,Tomas Berdych,0.0,196.0,CZE,27.1,6-2 7-6(6),3,RR,98.0,7.0,0.0,58.0,38.0,31.0,11.0,10.0,1.0,2.0,3.0,1.0,68.0,38.0,29.0,11.0,10.0,5.0,8.0,1.0,11420.0,6.0,4405.0,True
595,595,2012,2012-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20121105,513,104925,Novak Djokovic,1.0,188.0,SRB,25.4,105223,Juan Martin del Potro,0.0,198.0,ARG,24.1,4-6 6-3 6-2,3,SF,132.0,9.0,1.0,85.0,50.0,41.0,16.0,14.0,5.0,7.0,5.0,2.0,79.0,48.0,32.0,15.0,13.0,6.0,10.0,1.0,11420.0,7.0,4080.0,True
596,596,2012,2012-605,Tour Finals,0.0,0.0,0.0,1.0,8,F,20121105,515,104925,Novak Djokovic,1.0,188.0,SRB,25.4,103819,Roger Federer,0.0,185.0,SUI,31.2,7-6(6) 7-5,3,F,135.0,6.0,2.0,98.0,68.0,43.0,14.0,12.0,4.0,7.0,8.0,2.0,93.0,57.0,35.0,19.0,12.0,3.0,7.0,1.0,11420.0,2.0,9465.0,True
597,597,2013,2013-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20130114,1,104925,Novak Djokovic,1.0,188.0,SRB,25.6,103908,Paul Henri Mathieu,0.0,185.0,FRA,31.0,6-2 6-4 7-5,5,R128,102.0,9.0,2.0,77.0,49.0,41.0,21.0,15.0,3.0,3.0,5.0,4.0,86.0,58.0,42.0,11.0,15.0,3.0,7.0,1.0,12920.0,60.0,763.0,True
598,598,2013,2013-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20130114,65,104925,Novak Djokovic,1.0,188.0,SRB,25.6,105992,Ryan Harrison,0.0,183.0,USA,20.6,6-1 6-2 6-3,5,R64,91.0,7.0,0.0,56.0,41.0,35.0,13.0,12.0,0.0,0.0,6.0,3.0,90.0,57.0,32.0,12.0,12.0,7.0,13.0,1.0,12920.0,62.0,754.0,True
599,599,2013,2013-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20130114,97,104925,Novak Djokovic,1.0,188.0,SRB,25.6,103285,Radek Stepanek,0.0,185.0,CZE,34.1,6-4 6-3 7-5,5,R32,142.0,7.0,1.0,85.0,55.0,47.0,20.0,16.0,2.0,2.0,4.0,3.0,107.0,74.0,51.0,14.0,15.0,8.0,11.0,1.0,12920.0,34.0,1090.0,True
600,600,2013,2013-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20130114,113,104925,Novak Djokovic,1.0,188.0,SRB,25.6,104527,Stan Wawrinka,0.0,183.0,SUI,27.8,1-6 7-5 6-4 6-7(5) 12-10,5,R16,302.0,7.0,5.0,195.0,129.0,92.0,36.0,32.0,11.0,18.0,16.0,2.0,214.0,133.0,91.0,42.0,31.0,8.0,15.0,1.0,12920.0,17.0,1900.0,True
601,601,2013,2013-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20130114,121,104925,Novak Djokovic,1.0,188.0,SRB,25.6,104607,Tomas Berdych,0.0,196.0,CZE,27.3,6-1 4-6 6-1 6-4,5,QF,151.0,10.0,2.0,97.0,65.0,51.0,20.0,17.0,3.0,4.0,8.0,5.0,107.0,64.0,42.0,18.0,17.0,8.0,14.0,1.0,12920.0,6.0,4680.0,True
602,602,2013,2013-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20130114,125,104925,Novak Djokovic,1.0,188.0,SRB,25.6,103970,David Ferrer,0.0,175.0,ESP,30.7,6-2 6-2 6-1,5,SF,89.0,6.0,0.0,51.0,32.0,29.0,15.0,11.0,0.0,0.0,1.0,3.0,75.0,45.0,25.0,9.0,12.0,0.0,7.0,1.0,12920.0,5.0,6505.0,True
603,603,2013,2013-580,Australian Open,0.0,0.0,0.0,1.0,128,G,20130114,127,104925,Novak Djokovic,1.0,188.0,SRB,25.6,104918,Andy Murray,0.0,190.0,GBR,25.6,6-7(2) 7-6(3) 6-3 6-2,5,F,220.0,8.0,3.0,134.0,84.0,63.0,33.0,21.0,4.0,4.0,7.0,4.0,131.0,81.0,64.0,24.0,20.0,8.0,11.0,1.0,12920.0,3.0,8000.0,True
605,605,2013,2013-495,Dubai,0.0,0.0,0.0,1.0,32,A,20130225,1,104925,Novak Djokovic,1.0,188.0,SRB,25.7,104678,Viktor Troicki,0.0,193.0,SRB,27.0,6-1 6-4,3,R32,68.0,1.0,2.0,50.0,28.0,23.0,13.0,9.0,0.0,1.0,6.0,1.0,58.0,31.0,19.0,9.0,8.0,5.0,9.0,1.0,12960.0,44.0,925.0,True
606,606,2013,2013-495,Dubai,0.0,0.0,0.0,1.0,32,A,20130225,17,104925,Novak Djokovic,1.0,188.0,SRB,25.7,105138,Roberto Bautista Agut,0.0,183.0,ESP,24.8,6-1 7-6(4),3,R16,91.0,6.0,2.0,52.0,34.0,26.0,11.0,9.0,2.0,3.0,3.0,4.0,84.0,50.0,28.0,14.0,10.0,6.0,10.0,1.0,12960.0,55.0,788.0,True
607,607,2013,2013-495,Dubai,0.0,0.0,0.0,1.0,32,A,20130225,25,104925,Novak Djokovic,1.0,188.0,SRB,25.7,104312,Andreas Seppi,0.0,190.0,ITA,29.0,6-0 6-3,3,QF,65.0,6.0,4.0,52.0,28.0,25.0,11.0,8.0,1.0,1.0,1.0,2.0,48.0,24.0,12.0,10.0,7.0,4.0,8.0,1.0,12960.0,20.0,1730.0,True
608,608,2013,2013-495,Dubai,0.0,0.0,0.0,1.0,32,A,20130225,29,104925,Novak Djokovic,1.0,188.0,SRB,25.7,105223,Juan Martin del Potro,0.0,198.0,ARG,24.4,6-3 7-6(4),3,SF,105.0,7.0,0.0,63.0,40.0,33.0,12.0,11.0,2.0,4.0,7.0,0.0,78.0,51.0,33.0,14.0,10.0,3.0,6.0,1.0,12960.0,7.0,4410.0,True
609,609,2013,2013-495,Dubai,0.0,0.0,0.0,1.0,32,A,20130225,31,104925,Novak Djokovic,1.0,188.0,SRB,25.7,104607,Tomas Berdych,0.0,196.0,CZE,27.4,7-5 6-3,3,F,94.0,8.0,2.0,67.0,47.0,38.0,8.0,11.0,4.0,5.0,5.0,3.0,68.0,41.0,29.0,11.0,10.0,1.0,4.0,1.0,12960.0,6.0,4545.0,True
610,610,2013,2013-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20130307,33,104925,Novak Djokovic,1.0,188.0,SRB,25.7,104926,Fabio Fognini,0.0,178.0,ITA,25.7,6-0 5-7 6-2,3,R64,110.0,7.0,1.0,77.0,46.0,35.0,17.0,13.0,3.0,5.0,1.0,4.0,87.0,48.0,31.0,13.0,13.0,7.0,13.0,1.0,13280.0,36.0,1065.0,True
611,611,2013,2013-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20130307,65,104925,Novak Djokovic,1.0,188.0,SRB,25.7,105777,Grigor Dimitrov,0.0,188.0,BUL,21.8,7-6(4) 6-1,3,R32,68.0,1.0,3.0,55.0,37.0,29.0,11.0,10.0,1.0,2.0,5.0,6.0,56.0,36.0,26.0,6.0,9.0,2.0,5.0,1.0,13280.0,31.0,1137.0,True
612,612,2013,2013-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20130307,81,104925,Novak Djokovic,1.0,188.0,SRB,25.7,105023,Sam Querrey,0.0,198.0,USA,25.4,6-0 7-6(6),3,R16,87.0,4.0,0.0,61.0,41.0,32.0,9.0,9.0,2.0,3.0,5.0,5.0,82.0,44.0,28.0,15.0,9.0,7.0,11.0,1.0,13280.0,23.0,1695.0,True
613,613,2013,2013-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20130307,89,104925,Novak Djokovic,1.0,188.0,SRB,25.7,104542,Jo-Wilfried Tsonga,0.0,188.0,FRA,27.8,6-3 6-1,3,QF,55.0,8.0,0.0,38.0,28.0,25.0,8.0,8.0,0.0,0.0,2.0,4.0,50.0,31.0,20.0,5.0,8.0,5.0,9.0,1.0,13280.0,8.0,3660.0,True
614,614,2013,2013-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20130307,93,105223,Juan Martin del Potro,1.0,198.0,ARG,24.4,104925,Novak Djokovic,0.0,188.0,SRB,25.7,4-6 6-4 6-4,3,SF,170.0,4.0,3.0,104.0,63.0,38.0,23.0,15.0,7.0,11.0,5.0,2.0,97.0,59.0,37.0,20.0,15.0,7.0,12.0,7.0,4410.0,1.0,13280.0,False
615,615,2013,2013-403,Miami Masters,0.0,0.0,0.0,1.0,96,M,20130320,33,104925,Novak Djokovic,1.0,188.0,SRB,25.8,104586,Lukas Rosol,0.0,196.0,CZE,27.6,6-1 6-0,3,R64,53.0,4.0,0.0,47.0,30.0,20.0,14.0,7.0,4.0,4.0,2.0,7.0,46.0,19.0,11.0,8.0,6.0,2.0,7.0,1.0,13280.0,64.0,749.0,True
616,616,2013,2013-403,Miami Masters,0.0,0.0,0.0,1.0,96,M,20130320,65,104925,Novak Djokovic,1.0,188.0,SRB,25.8,104500,Somdev Devvarman,0.0,180.0,IND,28.0,6-2 6-4,3,R32,69.0,4.0,2.0,53.0,31.0,28.0,10.0,9.0,1.0,1.0,3.0,1.0,49.0,28.0,17.0,11.0,9.0,4.0,7.0,1.0,13280.0,254.0,182.0,True
617,617,2013,2013-403,Miami Masters,0.0,0.0,0.0,1.0,96,M,20130320,81,103163,Tommy Haas,1.0,188.0,GER,34.9,104925,Novak Djokovic,0.0,188.0,SRB,25.8,6-2 6-4,3,R16,80.0,0.0,0.0,43.0,25.0,19.0,13.0,9.0,0.0,1.0,2.0,1.0,68.0,44.0,23.0,13.0,9.0,5.0,9.0,18.0,1925.0,1.0,13280.0,False
