,date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry,Unnamed: 0,OpponentId
90,5/28/18,Roland Garros,G,5,C,False,QF,MARCO CECCHINATO,,Italy,ITA,72,30.0,1913,Novak Djokovic,Serbia,SRB,22.0,-25.0,2332,6-3 7-6(4) 1-6 7-6(11),20.0,,45.0,,,20,cf01
91,5/7/18,Madrid Masters,M,3,C,False,R32,KYLE EDMUND,,United Kingdom,GBR,22,19.0,1990,Novak Djokovic,Serbia,SRB,12.0,-17.0,2337,6-3 2-6 6-3,10.0,,65.0,,,34,e831
92,4/23/18,Barcelona,A,3,C,False,R32,MARTIN KLIZAN,,Slovakia,SVK,140,20.0,1885,Novak Djokovic,Serbia,SRB,12.0,-16.0,2348,6-2 1-6 6-3,6.0,,42.0,,Q,65,K966
93,3/19/18,Miami Masters,M,3,H,False,R64,BENOIT PAIRE,,France,FRA,47,21.0,1910,Novak Djokovic,Serbia,SRB,12.0,-17.0,2378,6-3 6-4,9.0,,51.0,,,88,PD31
94,3/5/18,Indian Wells Masters,M,3,H,False,R64,TARO DANIEL,,Japan,JPN,109,36.0,1756,Novak Djokovic,Serbia,SRB,13.0,-18.0,2396,7-6(3) 4-6 6-1,10.0,,55.0,,Q,24,da81
95,7/3/17,Wimbledon,G,5,G,False,QF,TOMAS BERDYCH,11.0,Czech Republic,CZE,15,23.0,2165,Novak Djokovic,Serbia,SRB,4.0,-22.0,2443,7-6(2) 2-0 RET,2.0,,78.0,RET,,15,BA47
96,5/12/13,Rome Masters,M,3,C,False,QF,TOMAS BERDYCH,6.0,Czech Republic,CZE,6,17.0,2245,Novak Djokovic,Serbia,SRB,1.0,-17.0,2501,2-6 7-5 6-4,1.0,,48.0,,,15,BA47
97,6/21/10,Wimbledon,G,5,G,False,SF,TOMAS BERDYCH,12.0,Czech Republic,CZE,13,18.0,2179,Novak Djokovic,Serbia,SRB,3.0,-18.0,2280,6-3 7-6(9) 6-3,3.0,,88.0,,,15,BA47
98,4/17/17,Monte Carlo Masters,M,3,C,False,QF,DAVID GOFFIN,10.0,Belgium,BEL,13,19.0,2140,Novak Djokovic,Serbia,SRB,2.0,-19.0,2493,6-2 3-6 7-5,2.0,,20.0,,,47,gb88
99,3/6/17,Indian Wells Masters,M,3,H,False,R16,NICK KYRGIOS,15.0,Australia,AUS,16,18.0,2124,Novak Djokovic,Serbia,SRB,2.0,-18.0,2507,6-4 7-6(3),2.0,,53.0,,,71,ke17
100,2/27/17,Acapulco,A,3,H,False,QF,NICK KYRGIOS,6.0,Australia,AUS,17,17.0,2110,Novak Djokovic,Serbia,SRB,2.0,-17.0,2520,7-6(9) 7-5,1.0,,60.0,,,71,ke17
101,1/16/17,Australian Open,G,5,H,False,R64,DENIS ISTOMIN,,Uzbekistan,UZB,117,31.0,1860,Novak Djokovic,Serbia,SRB,2.0,-23.0,2539,7-6(8) 5-7 2-6 7-6(5) 6-4,2.0,,68.0,,,60,i165
102,11/14/16,Tour Finals,F,3,H,True,F,ANDY MURRAY,1.0,United Kingdom,GBR,1,15.0,2485,Novak Djokovic,Serbia,SRB,2.0,-15.0,2543,6-3 6-4,2.0,,68.0,,,82,mc10
103,5/9/16,Rome Masters,M,3,C,False,F,ANDY MURRAY,2.0,United Kingdom,GBR,3,19.0,2385,Novak Djokovic,Serbia,SRB,1.0,-20.0,2627,6-3 6-3,1.0,,47.0,,,82,mc10
104,8/10/15,Canada Masters,M,3,H,False,F,ANDY MURRAY,2.0,United Kingdom,GBR,3,19.0,2379,Novak Djokovic,Serbia,SRB,1.0,-19.0,2585,6-4 4-6 6-3,1.0,,71.0,,,82,mc10
105,6/24/13,Wimbledon,G,5,G,False,F,ANDY MURRAY,2.0,United Kingdom,GBR,2,21.0,2384,Novak Djokovic,Serbia,SRB,1.0,-21.0,2496,6-4 7-5 6-4,1.0,,82.0,,,82,mc10
106,8/27/12,US Open,G,5,H,False,F,ANDY MURRAY,3.0,United Kingdom,GBR,4,20.0,2371,Novak Djokovic,Serbia,SRB,2.0,-20.0,2466,7-6(10) 7-5 2-6 3-6 6-2,2.0,,60.0,,,82,mc10
107,7/25/12,London Olympics,O,3,G,False,SF,ANDY MURRAY,3.0,United Kingdom,GBR,4,14.0,2339,Novak Djokovic,Serbia,SRB,2.0,-13.0,2461,7-5 7-5,2.0,,87.0,,,82,mc10
108,2/27/12,Dubai,A,3,H,False,SF,ANDY MURRAY,3.0,United Kingdom,GBR,4,13.0,2356,Novak Djokovic,Serbia,SRB,1.0,-13.0,2483,6-2 7-5,1.0,,69.0,,,82,mc10
109,8/14/11,Cincinnati Masters,M,3,H,False,F,ANDY MURRAY,4.0,United Kingdom,GBR,4,19.0,2291,Novak Djokovic,Serbia,SRB,1.0,-19.0,2514,6-4 3-0 RET,1.0,,68.0,RET,,82,mc10
110,3/25/09,Miami Masters,M,3,H,False,F,ANDY MURRAY,4.0,United Kingdom,GBR,4,10.0,2344,Novak Djokovic,Serbia,SRB,3.0,-10.0,2278,6-2 7-5,3.0,,52.0,,,82,mc10
111,7/28/08,Cincinnati Masters,M,3,H,False,F,ANDY MURRAY,8.0,United Kingdom,GBR,9,15.0,2192,Novak Djokovic,Serbia,SRB,3.0,-15.0,2290,7-6(4) 7-6(5),3.0,,80.0,,,82,mc10
112,7/21/08,Canada Masters,M,3,H,False,QF,ANDY MURRAY,8.0,United Kingdom,GBR,9,14.0,2161,Novak Djokovic,Serbia,SRB,3.0,-14.0,2279,6-3 7-6(3),3.0,,61.0,,,82,mc10
113,8/8/16,Rio Olympics,O,3,H,False,R64,JUAN MARTIN DEL POTRO,,Argentina,ARG,141,16.0,2146,Novak Djokovic,Serbia,SRB,1.0,-17.0,2606,7-6(4) 7-6(2),1.0,,53.0,,,27,d683
114,3/7/13,Indian Wells Masters,M,3,H,False,SF,JUAN MARTIN DEL POTRO,7.0,Argentina,ARG,7,17.0,2313,Novak Djokovic,Serbia,SRB,1.0,-17.0,2535,4-6 6-4 6-4,1.0,,42.0,,,27,d683
115,7/25/12,London Olympics,O,3,G,False,BR,JUAN MARTIN DEL POTRO,8.0,Argentina,ARG,9,16.0,2281,Novak Djokovic,Serbia,SRB,2.0,-16.0,2448,7-5 6-4,2.0,,87.0,,,27,d683
116,9/16/11,Davis Cup WG,D,5,H,False,SF,JUAN MARTIN DEL POTRO,,Argentina,ARG,17,18.0,2217,Novak Djokovic,Serbia,SRB,1.0,-17.0,2522,7-6(5) 3-0 RET,,,,RET,,27,d683
117,6/27/16,Wimbledon,G,5,G,False,R32,SAM QUERREY,28.0,United States,USA,41,28.0,1957,Novak Djokovic,Serbia,SRB,1.0,-25.0,2623,7-6(6) 6-1 3-6 7-6(5),1.0,,76.0,,,92,Q927
118,10/29/12,Paris Masters,M,3,H,True,R32,SAM QUERREY,,United States,USA,23,19.0,2050,Novak Djokovic,Serbia,SRB,2.0,-18.0,2472,0-6 7-6(5) 6-4,2.0,,69.0,,,92,Q927
119,2/22/16,Dubai,A,3,H,False,QF,FELICIANO LOPEZ,6.0,Spain,ESP,24,19.0,2003,Novak Djokovic,Serbia,SRB,1.0,-18.0,2630,6-3 0-0 RET,1.0,,52.0,RET,,73,l397
120,8/25/14,US Open,G,5,H,False,SF,KEI NISHIKORI,10.0,Japan,JPN,11,25.0,2205,Novak Djokovic,Serbia,SRB,1.0,-25.0,2527,6-4 1-6 7-6(4) 6-3,1.0,,64.0,,,86,N552
121,10/31/11,Basel,A,3,H,True,SF,KEI NISHIKORI,,Japan,JPN,32,19.0,2002,Novak Djokovic,Serbia,SRB,1.0,-19.0,2507,2-6 7-6(4) 6-0,1.0,,62.0,,WC,86,N552
122,8/10/14,Cincinnati Masters,M,3,H,False,R16,TOMMY ROBREDO,16.0,Spain,ESP,20,19.0,2062,Novak Djokovic,Serbia,SRB,1.0,-18.0,2536,7-6(6) 7-5,1.0,,71.0,,,96,r419
