date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry
11/2/09,Basel,A,3,H,TRUE,F,Novak Djokovic,2,Serbia,SRB,3,14,2317,Roger Federer,Switzerland,SUI,1,-14,2437,6-4 4-6 6-2,1,,85,,
11/2/09,Basel,A,3,H,TRUE,SF,Novak Djokovic,2,Serbia,SRB,3,5,2312,Radek Stepanek,Czech Republic,CZE,14,-5,2116,6-7(4) 7-5 6-2,5,,85,,
11/2/09,Basel,A,3,H,TRUE,QF,Novak Djokovic,2,Serbia,SRB,3,3,2309,Stan Wawrinka,Switzerland,SUI,21,-4,2070,3-6 7-6(5) 6-2,6,,85,,
11/2/09,Basel,A,3,H,TRUE,R16,Novak Djokovic,2,Serbia,SRB,3,1,2308,Jan Hernych,Czech Republic,CZE,59,-2,1795,6-0 6-0,,,85,,
11/2/09,Basel,A,3,H,TRUE,R32,Novak Djokovic,2,Serbia,SRB,3,2,2306,Andreas Beck,Germany,GER,33,-1,1854,6-3 7-5,,,85,,
10/11/09,Shanghai Masters,M,3,H,FALSE,SF,Nikolay Davydenko,6,Russian Federation,RUS,8,14,2202,Novak Djokovic,Serbia,SRB,4,-15,2321,4-6 6-4 7-6(1),2,,66,,
10/11/09,Shanghai Masters,M,3,H,FALSE,QF,Novak Djokovic,2,Serbia,SRB,4,4,2317,Gilles Simon,France,FRA,10,-4,2060,6-3 2-6 6-2,8,,66,,
10/11/09,Shanghai Masters,M,3,H,FALSE,R16,Novak Djokovic,2,Serbia,SRB,4,1,2316,Rainer Schuettler,Germany,GER,99,-2,1828,6-4 6-2,,Q,66,,
10/11/09,Shanghai Masters,M,3,H,FALSE,R32,Novak Djokovic,2,Serbia,SRB,4,1,2315,Fabio Fognini,Italy,ITA,66,-2,1875,6-3 6-1,,Q,66,,
10/5/09,Beijing,A,3,H,FALSE,F,Novak Djokovic,2,Serbia,SRB,4,5,2310,Marin Cilic,Croatia,CRO,15,-5,2110,6-2 7-6(4),8,,58,,
10/5/09,Beijing,A,3,H,FALSE,SF,Novak Djokovic,2,Serbia,SRB,4,7,2303,Robin Soderling,Sweden,SWE,11,-7,2180,6-3 6-3,6,,58,,
10/5/09,Beijing,A,3,H,FALSE,QF,Novak Djokovic,2,Serbia,SRB,4,6,2297,Fernando Verdasco,Spain,ESP,9,-6,2164,6-3 1-6 6-1,5,,58,,
10/5/09,Beijing,A,3,H,FALSE,R16,Novak Djokovic,2,Serbia,SRB,4,2,2295,Viktor Troicki,Serbia,SRB,28,-3,1965,6-3 6-0,,,58,,
10/5/09,Beijing,A,3,H,FALSE,R32,Novak Djokovic,2,Serbia,SRB,4,2,2293,Victor Hanescu,Romania,ROU,27,-2,1913,6-3 7-5,,,58,,
8/31/09,US Open,G,5,H,FALSE,SF,Roger Federer,1,Switzerland,SUI,1,9,2446,Novak Djokovic,Serbia,SRB,4,-9,2302,7-6(3) 7-5 7-5,4,,56,,
8/31/09,US Open,G,5,H,FALSE,QF,Novak Djokovic,4,Serbia,SRB,4,8,2294,Fernando Verdasco,Spain,ESP,10,-8,2153,7-6(2) 1-6 7-5 6-2,10,,56,,
8/31/09,US Open,G,5,H,FALSE,R16,Novak Djokovic,4,Serbia,SRB,4,7,2287,Radek Stepanek,Czech Republic,CZE,16,-7,2105,6-1 6-3 6-3,15,,56,,
8/31/09,US Open,G,5,H,FALSE,R32,Novak Djokovic,4,Serbia,SRB,4,1,2286,Jesse Witten,United States,USA,276,-3,1759,6-7(2) 6-3 7-6(2) 6-4,,Q,56,,
8/31/09,US Open,G,5,H,FALSE,R64,Novak Djokovic,4,Serbia,SRB,4,2,2284,Carsten Ball,Australia,AUS,155,-2,1811,6-3 6-4 6-4,,Q,56,,
