Hard,Clay,Carpet,Grass,best_of,minutes,opponent_name,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stIn,opp_1stWon,opp_2ndWon,opp_SvGms,opp_bpSaved,opp_bpFaced,DJOK,djok_hand,djok_ht,djok_age,djok_ace,djok_df,djok_svpt,djok_1stIn,djok_1stWon,djok_2ndWon,djok_SvGms,djok_bpSaved,djok_bpFaced,Target
0.0,1.0,0.0,0.0,1.0,60.0,Luis Horna,0.0,180.0,25.7,1.0,2.0,53.0,32.0,16.0,11.0,7.0,4.0,8.0,Novak Djokovic,1.0,188.0,19.0,6.0,1.0,36.0,30.0,25.0,4.0,7.0,0.0,0.0,True
0.0,1.0,0.0,0.0,1.0,183.0,Fernando Gonzalez,0.0,183.0,25.8,9.0,4.0,114.0,73.0,53.0,18.0,21.0,4.0,10.0,Novak Djokovic,1.0,188.0,19.0,6.0,1.0,153.0,105.0,75.0,26.0,22.0,12.0,15.0,True
0.0,1.0,0.0,0.0,1.0,134.0,Tommy Haas,0.0,188.0,28.1,5.0,2.0,101.0,60.0,40.0,19.0,16.0,6.0,12.0,Novak Djokovic,1.0,188.0,19.0,6.0,3.0,80.0,57.0,43.0,16.0,15.0,2.0,4.0,True
0.0,1.0,0.0,0.0,1.0,153.0,Gael Monfils,0.0,193.0,19.7,6.0,3.0,101.0,48.0,35.0,29.0,16.0,5.0,9.0,Novak Djokovic,1.0,188.0,19.0,7.0,4.0,101.0,59.0,44.0,28.0,17.0,3.0,6.0,True
0.0,0.0,1.0,0.0,1.0,124.0,Paul Goldstein,0.0,178.0,29.8,1.0,5.0,87.0,43.0,31.0,21.0,14.0,3.0,8.0,Novak Djokovic,1.0,188.0,19.0,8.0,4.0,98.0,59.0,46.0,19.0,15.0,4.0,6.0,True
0.0,0.0,1.0,0.0,1.0,133.0,Tommy Robredo,0.0,180.0,24.1,1.0,3.0,107.0,74.0,45.0,12.0,15.0,9.0,15.0,Novak Djokovic,1.0,188.0,19.0,2.0,3.0,94.0,63.0,46.0,15.0,15.0,2.0,5.0,True
0.0,0.0,1.0,0.0,1.0,156.0,Mikhail Youzhny,0.0,183.0,24.0,6.0,2.0,98.0,63.0,41.0,20.0,18.0,1.0,6.0,Novak Djokovic,1.0,188.0,19.0,7.0,3.0,111.0,71.0,56.0,22.0,18.0,4.0,5.0,True
0.0,0.0,0.0,1.0,1.0,101.0,Donald Young,1.0,183.0,17.0,4.0,8.0,87.0,44.0,24.0,20.0,16.0,2.0,9.0,Novak Djokovic,1.0,188.0,19.2,8.0,4.0,102.0,70.0,51.0,18.0,16.0,7.0,8.0,True
0.0,0.0,0.0,1.0,1.0,191.0,Mardy Fish,0.0,188.0,24.7,21.0,4.0,144.0,72.0,59.0,45.0,22.0,6.0,7.0,Novak Djokovic,1.0,188.0,19.2,9.0,8.0,148.0,92.0,71.0,33.0,21.0,9.0,10.0,True
0.0,0.0,0.0,1.0,0.0,154.0,Fernando Verdasco,1.0,188.0,23.9,2.0,4.0,90.0,67.0,49.0,9.0,15.0,2.0,5.0,Novak Djokovic,1.0,188.0,20.3,6.0,4.0,112.0,61.0,47.0,28.0,15.0,10.0,10.0,True
0.0,0.0,0.0,1.0,0.0,133.0,Juan Carlos Ferrero,0.0,183.0,27.6,8.0,2.0,88.0,50.0,34.0,21.0,13.0,8.0,10.0,Novak Djokovic,1.0,188.0,20.3,4.0,2.0,82.0,49.0,36.0,18.0,14.0,2.0,4.0,True
0.0,0.0,0.0,1.0,0.0,105.0,Mario Ancic,0.0,196.0,23.5,6.0,2.0,65.0,38.0,30.0,12.0,10.0,0.0,2.0,Novak Djokovic,1.0,188.0,20.3,8.0,4.0,70.0,38.0,33.0,18.0,10.0,6.0,6.0,True
0.0,0.0,1.0,0.0,0.0,94.0,Robert Kendrick,0.0,190.0,27.5,8.0,6.0,73.0,46.0,37.0,8.0,13.0,4.0,7.0,Novak Djokovic,1.0,188.0,20.0,6.0,1.0,84.0,54.0,39.0,18.0,13.0,3.0,4.0,True
0.0,0.0,0.0,1.0,0.0,77.0,Robby Ginepri,0.0,183.0,25.0,5.0,0.0,54.0,35.0,21.0,5.0,9.0,4.0,9.0,Novak Djokovic,1.0,188.0,20.3,5.0,3.0,55.0,34.0,22.0,12.0,10.0,0.0,3.0,True
0.0,0.0,0.0,1.0,0.0,77.0,Tomas Zib,0.0,178.0,31.6,0.0,0.0,58.0,30.0,20.0,13.0,10.0,1.0,4.0,Novak Djokovic,1.0,188.0,20.3,7.0,1.0,47.0,24.0,22.0,14.0,10.0,0.0,1.0,True
0.0,0.0,0.0,1.0,0.0,174.0,Juan Ignacio Chela,0.0,190.0,28.1,6.0,4.0,108.0,62.0,50.0,20.0,16.0,5.0,7.0,Novak Djokovic,1.0,188.0,20.3,7.0,1.0,128.0,75.0,54.0,31.0,17.0,12.0,14.0,True
0.0,0.0,0.0,1.0,0.0,106.0,Andreas Seppi,0.0,190.0,23.6,1.0,2.0,56.0,33.0,22.0,9.0,9.0,4.0,7.0,Novak Djokovic,1.0,188.0,20.3,4.0,2.0,78.0,48.0,37.0,12.0,10.0,6.0,7.0,True
0.0,0.0,0.0,1.0,0.0,76.0,Stan Wawrinka,0.0,183.0,22.5,2.0,2.0,55.0,36.0,24.0,4.0,8.0,4.0,8.0,Novak Djokovic,1.0,188.0,20.3,1.0,0.0,46.0,33.0,26.0,9.0,8.0,1.0,1.0,True
0.0,0.0,0.0,1.0,0.0,147.0,Chris Guccione,1.0,201.0,21.4,14.0,5.0,106.0,63.0,48.0,17.0,16.0,6.0,10.0,Novak Djokovic,1.0,188.0,19.6,4.0,6.0,118.0,71.0,50.0,26.0,15.0,5.0,6.0,True
0.0,0.0,0.0,1.0,0.0,101.0,Paul Goldstein,0.0,178.0,30.4,2.0,3.0,74.0,45.0,28.0,10.0,11.0,2.0,7.0,Novak Djokovic,1.0,188.0,19.6,8.0,3.0,72.0,48.0,34.0,11.0,11.0,4.0,7.0,True
0.0,0.0,0.0,1.0,0.0,58.0,Jan Hajek,0.0,180.0,23.4,3.0,3.0,57.0,28.0,18.0,5.0,7.0,9.0,15.0,Novak Djokovic,1.0,188.0,19.6,9.0,1.0,40.0,28.0,23.0,5.0,6.0,1.0,1.0,True
0.0,0.0,0.0,1.0,0.0,54.0,Alun Jones,0.0,180.0,26.6,0.0,2.0,47.0,32.0,19.0,5.0,7.0,4.0,8.0,Novak Djokovic,1.0,188.0,19.6,2.0,3.0,45.0,30.0,26.0,9.0,8.0,3.0,3.0,True
0.0,0.0,0.0,1.0,0.0,67.0,Joachim Johansson,0.0,198.0,24.5,6.0,3.0,66.0,48.0,27.0,8.0,8.0,6.0,9.0,Novak Djokovic,1.0,188.0,19.6,8.0,2.0,44.0,30.0,28.0,9.0,9.0,0.0,0.0,True
0.0,0.0,0.0,1.0,0.0,84.0,Daniele Bracciali,0.0,180.0,29.1,8.0,0.0,72.0,47.0,34.0,16.0,11.0,3.0,4.0,Novak Djokovic,1.0,188.0,19.8,13.0,1.0,66.0,45.0,36.0,15.0,11.0,3.0,3.0,True
0.0,0.0,0.0,1.0,0.0,60.0,Michael Llodra,1.0,190.0,26.8,3.0,3.0,48.0,27.0,16.0,10.0,8.0,2.0,5.0,Novak Djokovic,1.0,188.0,19.8,1.0,1.0,44.0,27.0,23.0,13.0,9.0,0.0,0.0,True
0.0,0.0,0.0,1.0,0.0,57.0,Feliciano Lopez,1.0,188.0,25.4,1.0,2.0,40.0,29.0,17.0,3.0,7.0,4.0,8.0,Novak Djokovic,1.0,188.0,19.8,4.0,1.0,41.0,28.0,24.0,9.0,8.0,1.0,1.0,True
0.0,0.0,0.0,1.0,0.0,97.0,Rafael Nadal,1.0,185.0,20.7,1.0,1.0,54.0,40.0,28.0,5.0,9.0,4.0,7.0,Novak Djokovic,1.0,188.0,19.8,7.0,0.0,65.0,45.0,29.0,15.0,10.0,4.0,5.0,True
0.0,0.0,0.0,1.0,0.0,63.0,Andy Murray,0.0,190.0,19.8,1.0,5.0,44.0,18.0,10.0,8.0,6.0,4.0,9.0,Novak Djokovic,1.0,188.0,19.8,2.0,2.0,42.0,28.0,20.0,10.0,7.0,3.0,3.0,True
0.0,0.0,0.0,1.0,1.0,140.0,Guillermo Canas,0.0,185.0,29.3,6.0,5.0,69.0,37.0,24.0,16.0,13.0,3.0,7.0,Novak Djokovic,1.0,188.0,19.8,7.0,1.0,96.0,64.0,44.0,23.0,14.0,5.0,5.0,True
0.0,0.0,0.0,1.0,0.0,82.0,Robby Ginepri,0.0,183.0,24.4,6.0,1.0,67.0,39.0,24.0,11.0,10.0,7.0,12.0,Novak Djokovic,1.0,188.0,19.7,2.0,4.0,63.0,35.0,24.0,14.0,10.0,1.0,4.0,True
0.0,0.0,0.0,1.0,0.0,55.0,Evgeny Korolev,0.0,185.0,19.0,3.0,2.0,49.0,26.0,9.0,11.0,7.0,5.0,10.0,Novak Djokovic,1.0,188.0,19.7,2.0,2.0,43.0,25.0,23.0,8.0,8.0,2.0,3.0,True
0.0,0.0,0.0,1.0,0.0,91.0,Julien Benneteau,0.0,185.0,25.2,4.0,3.0,60.0,32.0,19.0,10.0,8.0,3.0,8.0,Novak Djokovic,1.0,188.0,19.7,7.0,1.0,65.0,46.0,30.0,10.0,8.0,10.0,11.0,True
0.0,0.0,0.0,1.0,0.0,77.0,David Ferrer,0.0,175.0,24.9,3.0,3.0,49.0,33.0,20.0,8.0,9.0,2.0,5.0,Novak Djokovic,1.0,188.0,19.7,4.0,2.0,58.0,39.0,30.0,11.0,10.0,3.0,4.0,True
0.0,0.0,0.0,1.0,0.0,63.0,Andy Murray,0.0,190.0,19.8,3.0,0.0,46.0,24.0,12.0,12.0,9.0,3.0,8.0,Novak Djokovic,1.0,188.0,19.7,3.0,0.0,42.0,24.0,20.0,11.0,8.0,2.0,3.0,True
0.0,0.0,0.0,1.0,0.0,88.0,Florent Serra,0.0,180.0,25.9,5.0,0.0,71.0,52.0,37.0,11.0,11.0,2.0,3.0,Novak Djokovic,1.0,188.0,19.7,5.0,0.0,67.0,49.0,38.0,11.0,11.0,0.0,0.0,True
0.0,0.0,0.0,1.0,0.0,129.0,Andrei Pavel,0.0,183.0,33.0,2.0,1.0,116.0,76.0,54.0,12.0,14.0,11.0,16.0,Novak Djokovic,1.0,188.0,19.7,9.0,2.0,80.0,61.0,48.0,12.0,14.0,1.0,2.0,True
0.0,0.0,0.0,1.0,0.0,146.0,Tommy Robredo,0.0,180.0,24.8,6.0,0.0,94.0,54.0,38.0,20.0,16.0,6.0,10.0,Novak Djokovic,1.0,188.0,19.7,4.0,2.0,93.0,65.0,49.0,11.0,16.0,2.0,5.0,True
0.0,1.0,0.0,0.0,0.0,102.0,Gaston Gaudio,0.0,175.0,28.3,1.0,4.0,85.0,57.0,24.0,14.0,11.0,8.0,15.0,Novak Djokovic,1.0,188.0,19.9,3.0,2.0,66.0,36.0,27.0,13.0,12.0,4.0,8.0,True
