,ref,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,year
38,A0E2,66.7%,0,2,4,120.0,100.0%,0,1,0,121.0,100.0%,0,1,0,121.0,50.0%,0.0,1.0,1.0,104.0,20.0%,0,0,5,87.0,44.4%,0,1,8,91.0,2014
39,A479,100.0%,1,1,3,119.0,0.0%,0,0,1,130.0,0.0%,0,0,1,130.0,50.0%,0.0,0.0,2.0,107.0,36.4%,0,2,9,97.0,20.0%,0,0,5,96.0,2014
40,A678,66.7%,0,0,3,125.0,0.0%,0,0,1,130.0,0.0%,0,0,1,130.0,25.0%,0.0,1.0,3.0,110.0,60.0%,0,3,2,100.0,33.3%,0,0,3,105.0,2014
41,A596,72.7%,1,3,7,121.0,50.0%,0,1,5,123.0,50.0%,0,1,5,123.0,42.9%,0.0,1.0,6.0,98.0,25.0%,0,1,7,90.0,55.6%,1,1,7,88.0,2014
42,AG37,48.6%,3,8,26,119.0,33.3%,0,0,3,121.0,33.3%,0,0,3,121.0,50.0%,0.0,1.0,3.0,105.0,66.7%,0,1,8,96.0,91.7%,0,3,9,92.0,2014
43,B837,59.3%,0,7,20,112.0,71.4%,0,0,7,111.0,71.4%,0,0,7,111.0,75.0%,0.0,1.0,3.0,99.0,50.0%,0,2,18,93.0,37.5%,0,0,8,90.0,2014
44,be67,50.0%,0,2,8,111.0,66.7%,0,0,3,105.0,66.7%,0,0,3,105.0,100.0%,0.0,1.0,0.0,83.0,42.9%,0,0,14,85.0,25.0%,0,1,3,85.0,2014
45,BD06,60.0%,0,2,8,117.0,50.0%,0,0,2,120.0,50.0%,0,0,2,120.0,50.0%,1.0,2.0,3.0,97.0,50.0%,0,2,4,94.0,25.0%,0,2,6,94.0,2014
46,bh09,57.1%,0,2,5,118.0,0.0%,0,0,3,107.0,0.0%,0,0,3,107.0,0.0%,0.0,0.0,2.0,100.0,88.9%,0,3,6,94.0,100.0%,0,1,0,91.0,2014
47,bd20,43.8%,3,2,11,124.0,60.0%,0,2,3,117.0,60.0%,0,2,3,117.0,66.7%,0.0,0.0,3.0,111.0,66.7%,0,1,2,97.0,30.8%,0,1,12,102.0,2014
48,b747,66.7%,1,3,8,112.0,66.7%,0,1,2,116.0,66.7%,0,1,2,116.0,66.7%,0.0,2.0,1.0,101.0,37.5%,0,2,22,91.0,28.6%,0,2,5,94.0,2014
49,BE90,27.3%,0,1,10,112.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,50.0%,0.0,0.0,2.0,94.0,33.3%,0,1,5,86.0,71.4%,0,1,6,87.0,2014
50,BA47,78.6%,7,3,18,123.0,33.3%,0,0,3,115.0,33.3%,0,0,3,115.0,60.0%,0.0,1.0,4.0,111.0,57.1%,0,3,18,100.0,50.0%,0,1,7,101.0,2014
51,BK40,100.0%,0,1,2,115.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,0.0%,0.0,0.0,1.0,113.0,0.0%,0,0,0,0.0,42.9%,0,2,5,88.0,2014
52,b676,63.0%,1,4,22,111.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,20.0%,1.0,0.0,4.0,94.0,71.4%,0,0,7,81.0,62.5%,0,0,8,83.0,2014
53,CD85,50.0%,2,2,10,121.0,57.1%,0,3,4,108.0,57.1%,0,3,4,108.0,0.0%,0.0,0.0,3.0,94.0,77.8%,0,1,8,90.0,50.0%,0,2,2,85.0,2014
54,CE25,71.4%,0,4,10,106.0,80.0%,0,2,8,105.0,80.0%,0,2,8,105.0,33.3%,0.0,0.0,3.0,99.0,33.3%,0,1,5,90.0,14.3%,0,0,7,89.0,2014
55,cf01,77.3%,6,5,11,134.0,0.0%,0,0,2,140.0,0.0%,0,0,2,140.0,100.0%,1.0,1.0,0.0,124.0,44.4%,0,2,7,105.0,53.3%,0,1,14,104.0,2014
56,CA12,70.0%,4,1,15,116.0,100.0%,0,2,3,117.0,100.0%,0,2,3,117.0,50.0%,0.0,1.0,3.0,100.0,77.8%,0,0,9,95.0,33.3%,0,1,2,97.0,2014
57,A0E2,50.0%,0,0,2,105.0,25.0%,0,0,4,99.0,18.2%,0,1,10,100.0,50.0%,0.0,0.0,2.0,105.0,25.0%,0,0,4,99.0,18.2%,0,1,10,100.0,2013
58,A479,100.0%,0,1,2,116.0,33.3%,0,0,3,107.0,80.0%,0,1,4,91.0,100.0%,0.0,1.0,2.0,116.0,33.3%,0,0,3,107.0,80.0%,0,1,4,91.0,2013
59,A678,0.0%,0,0,0,0.0,62.5%,0,2,6,86.0,0.0%,0,0,1,87.0,0.0%,0.0,0.0,0.0,0.0,62.5%,0,2,6,86.0,0.0%,0,0,1,87.0,2013
60,A596,42.9%,0,1,6,114.0,56.2%,0,4,12,98.0,88.9%,0,1,8,98.0,42.9%,0.0,1.0,6.0,114.0,56.2%,0,4,12,98.0,88.9%,0,1,8,98.0,2013
61,AG37,0.0%,0,0,0,0.0,66.7%,0,0,3,96.0,50.0%,0,1,7,89.0,0.0%,0.0,0.0,0.0,0.0,66.7%,0,0,3,96.0,50.0%,0,1,7,89.0,2013
62,B837,25.0%,0,1,3,107.0,66.7%,0,1,2,104.0,20.0%,0,0,5,95.0,25.0%,0.0,1.0,3.0,107.0,66.7%,0,1,2,104.0,20.0%,0,0,5,95.0,2013
63,be67,0.0%,0,0,2,103.0,50.0%,0,3,5,89.0,42.9%,0,1,6,91.0,0.0%,0.0,0.0,2.0,103.0,50.0%,0,3,5,89.0,42.9%,0,1,6,91.0,2013
64,BD06,66.7%,0,1,2,105.0,50.0%,0,1,13,84.0,12.5%,0,1,7,88.0,66.7%,0.0,1.0,2.0,105.0,50.0%,0,1,13,84.0,12.5%,0,1,7,88.0,2013
65,bh09,0.0%,0,0,0,0.0,100.0%,0,0,2,89.0,25.0%,0,1,7,90.0,0.0%,0.0,0.0,0.0,0.0,100.0%,0,0,2,89.0,25.0%,0,1,7,90.0,2013
66,bd20,0.0%,0,0,3,102.0,0.0%,0,0,2,90.0,33.3%,0,1,5,91.0,0.0%,0.0,0.0,3.0,102.0,0.0%,0,0,2,90.0,33.3%,0,1,5,91.0,2013
67,b747,100.0%,0,1,1,105.0,33.3%,0,1,8,95.0,100.0%,0,0,2,93.0,100.0%,0.0,1.0,1.0,105.0,33.3%,0,1,8,95.0,100.0%,0,0,2,93.0,2013
68,BE90,100.0%,0,1,1,94.0,100.0%,0,0,4,89.0,66.7%,0,1,2,91.0,100.0%,0.0,1.0,1.0,94.0,100.0%,0,0,4,89.0,66.7%,0,1,2,91.0,2013
69,BA47,33.3%,0,1,2,113.0,100.0%,0,3,3,100.0,0.0%,0,0,2,95.0,33.3%,0.0,1.0,2.0,113.0,100.0%,0,3,3,100.0,0.0%,0,0,2,95.0,2013
70,BK40,0.0%,0,0,3,111.0,77.8%,0,1,8,106.0,66.7%,0,5,7,105.0,0.0%,0.0,0.0,3.0,111.0,77.8%,0,1,8,106.0,66.7%,0,5,7,105.0,2013
71,b676,36.4%,0,2,9,96.0,20.0%,0,0,5,94.0,0.0%,0,0,0,0.0,36.4%,0.0,2.0,9.0,96.0,20.0%,0,0,5,94.0,0.0%,0,0,0,0.0,2013
72,CD85,0.0%,0,0,0,0.0,0.0%,0,0,1,88.0,40.0%,0,0,5,89.0,0.0%,0.0,0.0,0.0,0.0,0.0%,0,0,1,88.0,40.0%,0,0,5,89.0,2013
73,CE25,0.0%,0,0,0,0.0,50.0%,0,1,7,92.0,50.0%,0,1,11,94.0,0.0%,0.0,0.0,0.0,0.0,50.0%,0,1,7,92.0,50.0%,0,1,11,94.0,2013
