,ref,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
49,BE90,58.3%,1,1,10,121.0,50.0%,0,0,4,115.0,50.0%,0,0,4,115.0,75.0%,0.0,2.0,2.0,86.0,60.0%,0,0,5,87.0,0.0%,0,0,0,0.0,2014
50,BA47,71.0%,6,10,15,133.0,100.0%,0,0,1,119.0,100.0%,0,0,1,119.0,47.4%,0.0,3.0,16.0,104.0,37.5%,0,3,5,103.0,66.7%,0,3,3,104.0,2014
51,BK40,0.0%,0,0,5,114.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,37.5%,0.0,2.0,6.0,97.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,2014
52,b676,100.0%,3,0,2,128.0,75.0%,0,2,2,104.0,75.0%,0,2,2,104.0,58.8%,0.0,2.0,15.0,86.0,33.3%,0,0,6,89.0,0.0%,0,0,1,96.0,2014
53,CD85,40.0%,0,5,25,111.0,56.2%,0,4,12,111.0,56.2%,0,4,12,111.0,53.8%,0.0,1.0,12.0,88.0,28.6%,0,1,6,89.0,0.0%,0,0,0,0.0,2014
54,CE25,50.0%,3,2,11,111.0,75.0%,0,1,3,110.0,75.0%,0,1,3,110.0,7.7%,0.0,0.0,13.0,91.0,40.0%,0,0,5,95.0,0.0%,0,0,1,88.0,2014
55,cf01,90.3%,6,10,15,140.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,33.3%,0.0,1.0,11.0,106.0,33.3%,0,1,11,108.0,80.0%,0,2,3,112.0,2014
56,CA12,47.4%,1,4,14,121.0,66.7%,0,1,2,115.0,66.7%,0,1,2,115.0,50.0%,0.0,1.0,7.0,95.0,76.9%,0,3,10,94.0,0.0%,0,0,0,0.0,2014
57,A0E2,50.0%,0,0,12,100.0,57.1%,0,2,5,98.0,100.0%,0,1,0,105.0,50.0%,0.0,0.0,12.0,100.0,57.1%,0,2,5,98.0,100.0%,0,1,0,105.0,2013
58,A479,68.8%,0,3,13,94.0,14.3%,0,0,7,94.0,0.0%,0,0,0,0.0,68.8%,0.0,3.0,13.0,94.0,14.3%,0,0,7,94.0,0.0%,0,0,0,0.0,2013
59,A678,0.0%,0,0,0,0.0,54.5%,0,2,9,88.0,0.0%,0,0,0,0.0,0.0%,0.0,0.0,0.0,0.0,54.5%,0,2,9,88.0,0.0%,0,0,0,0.0,2013
60,A596,55.0%,0,1,19,101.0,46.2%,0,3,10,102.0,33.3%,0,0,3,107.0,55.0%,0.0,1.0,19.0,101.0,46.2%,0,3,10,102.0,33.3%,0,0,3,107.0,2013
61,AG37,66.7%,0,1,5,97.0,100.0%,0,0,2,96.0,0.0%,0,0,0,0.0,66.7%,0.0,1.0,5.0,97.0,100.0%,0,0,2,96.0,0.0%,0,0,0,0.0,2013
62,B837,50.0%,0,1,7,100.0,80.0%,0,0,5,99.0,0.0%,0,0,1,103.0,50.0%,0.0,1.0,7.0,100.0,80.0%,0,0,5,99.0,0.0%,0,0,1,103.0,2013
63,be67,66.7%,0,2,4,94.0,50.0%,0,1,7,95.0,100.0%,0,0,1,98.0,66.7%,0.0,2.0,4.0,94.0,50.0%,0,1,7,95.0,100.0%,0,0,1,98.0,2013
64,BD06,17.6%,0,1,16,88.0,44.4%,0,0,9,90.0,50.0%,0,0,2,95.0,17.6%,0.0,1.0,16.0,88.0,44.4%,0,0,9,90.0,50.0%,0,0,2,95.0,2013
65,bh09,37.5%,0,2,6,94.0,0.0%,0,0,1,89.0,100.0%,0,0,1,96.0,37.5%,0.0,2.0,6.0,94.0,0.0%,0,0,1,89.0,100.0%,0,0,1,96.0,2013
