,Year,Hard,Clay,Carpet,Grass,draw_size,winner_hand,winner_ht,winner_age,loser_hand,loser_ht,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
46,2006,1.0,0.0,0.0,0.0,48,1.0,185.0,24.7,0.0,188.0,19.4,3,161.0,13.0,3.0,110.0,55.0,43.0,26.0,12.0,9.0,12.0,6.0,0.0,87.0,49.0,36.0,18.0,12.0,4.0,7.0,54.0,723.0,16.0,1465.0
47,2006,0.0,0.0,0.0,1.0,96,1.0,188.0,18.8,0.0,185.0,24.1,3,57.0,8.0,1.0,36.0,26.0,26.0,6.0,8.0,0.0,0.0,3.0,2.0,50.0,30.0,18.0,8.0,8.0,3.0,7.0,66.0,596.0,37.0,853.0
48,2006,0.0,0.0,0.0,1.0,96,1.0,175.0,24.1,0.0,188.0,18.8,3,88.0,1.0,0.0,52.0,39.0,24.0,10.0,9.0,0.0,2.0,2.0,6.0,82.0,43.0,24.0,15.0,10.0,12.0,18.0,7.0,2025.0,66.0,596.0
49,2006,0.0,0.0,0.0,1.0,96,1.0,185.0,24.2,0.0,188.0,18.7,3,93.0,2.0,1.0,56.0,40.0,30.0,6.0,9.0,2.0,4.0,1.0,2.0,75.0,42.0,25.0,14.0,10.0,7.0,12.0,88.0,459.0,67.0,591.0
50,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,18.7,0.0,190.0,21.9,3,111.0,5.0,2.0,83.0,45.0,30.0,18.0,14.0,1.0,6.0,7.0,5.0,85.0,39.0,29.0,19.0,14.0,4.0,10.0,72.0,548.0,53.0,710.0
51,2006,0.0,0.0,0.0,1.0,32,1.0,188.0,18.7,0.0,185.0,31.4,3,160.0,5.0,4.0,123.0,76.0,55.0,24.0,16.0,8.0,9.0,2.0,2.0,101.0,70.0,48.0,17.0,15.0,11.0,13.0,72.0,548.0,40.0,815.0
52,2006,0.0,0.0,0.0,1.0,32,1.0,185.0,27.2,0.0,188.0,18.7,3,140.0,20.0,6.0,95.0,64.0,51.0,17.0,17.0,3.0,5.0,3.0,3.0,107.0,74.0,51.0,20.0,17.0,2.0,4.0,23.0,1355.0,72.0,548.0
53,2006,0.0,1.0,0.0,0.0,64,1.0,185.0,24.6,0.0,188.0,18.9,3,109.0,1.0,0.0,73.0,39.0,28.0,21.0,13.0,0.0,2.0,1.0,4.0,94.0,61.0,36.0,19.0,13.0,8.0,11.0,1.0,6810.0,67.0,606.0
54,2006,0.0,1.0,0.0,0.0,64,1.0,188.0,18.9,0.0,175.0,24.3,3,138.0,0.0,1.0,93.0,64.0,35.0,19.0,14.0,9.0,13.0,0.0,10.0,84.0,53.0,34.0,12.0,13.0,9.0,14.0,71.0,577.0,21.0,1345.0
55,2006,0.0,1.0,0.0,0.0,64,0.0,188.0,22.4,0.0,188.0,18.9,3,89.0,1.0,1.0,56.0,47.0,28.0,6.0,9.0,4.0,7.0,1.0,0.0,60.0,46.0,20.0,7.0,10.0,3.0,9.0,34.0,895.0,71.0,577.0
56,2006,0.0,0.0,0.0,1.0,64,1.0,188.0,19.2,1.0,185.0,25.0,3,102.0,5.0,4.0,82.0,44.0,29.0,25.0,11.0,3.0,3.0,3.0,0.0,78.0,51.0,37.0,12.0,11.0,1.0,2.0,24.0,1168.0,15.0,1680.0
57,2006,0.0,0.0,0.0,1.0,64,1.0,180.0,25.4,0.0,188.0,19.2,3,68.0,3.0,1.0,56.0,31.0,19.0,19.0,10.0,0.0,1.0,6.0,3.0,57.0,33.0,21.0,13.0,10.0,1.0,4.0,52.0,755.0,24.0,1168.0
58,2006,0.0,1.0,0.0,0.0,56,1.0,185.0,20.7,0.0,188.0,18.9,3,133.0,2.0,5.0,105.0,70.0,49.0,12.0,14.0,7.0,10.0,2.0,1.0,82.0,54.0,37.0,12.0,14.0,3.0,7.0,178.0,225.0,66.0,614.0
61,2006,0.0,1.0,0.0,0.0,32,1.0,188.0,19.1,0.0,185.0,28.2,3,110.0,6.0,6.0,80.0,45.0,29.0,18.0,14.0,3.0,8.0,3.0,1.0,79.0,52.0,31.0,10.0,14.0,3.0,10.0,28.0,1071.0,110.0,389.0
62,2006,0.0,1.0,0.0,0.0,32,1.0,188.0,19.1,0.0,190.0,29.9,3,82.0,0.0,3.0,61.0,41.0,30.0,11.0,10.0,2.0,3.0,3.0,0.0,50.0,30.0,14.0,12.0,9.0,2.0,6.0,28.0,1071.0,42.0,830.0
63,2006,0.0,1.0,0.0,0.0,32,1.0,183.0,21.3,0.0,188.0,19.1,3,73.0,0.0,1.0,45.0,26.0,17.0,9.0,6.0,3.0,5.0,0.0,1.0,45.0,29.0,20.0,7.0,6.0,7.0,9.0,69.0,573.0,28.0,1071.0
64,2006,0.0,0.0,1.0,0.0,32,1.0,188.0,19.0,0.0,188.0,31.2,3,182.0,10.0,9.0,121.0,68.0,59.0,28.0,18.0,2.0,3.0,18.0,12.0,126.0,77.0,61.0,28.0,18.0,2.0,3.0,40.0,827.0,89.0,455.0
65,2006,0.0,0.0,1.0,0.0,32,1.0,190.0,26.9,0.0,188.0,19.0,3,68.0,1.0,2.0,54.0,36.0,26.0,12.0,9.0,0.0,0.0,5.0,6.0,55.0,30.0,22.0,10.0,9.0,3.0,6.0,128.0,333.0,40.0,827.0
66,2006,0.0,1.0,0.0,0.0,128,1.0,188.0,19.0,0.0,180.0,25.7,5,60.0,6.0,1.0,36.0,30.0,25.0,4.0,7.0,0.0,0.0,1.0,2.0,53.0,32.0,16.0,11.0,7.0,4.0,8.0,63.0,627.0,46.0,802.0
67,2006,0.0,1.0,0.0,0.0,128,1.0,188.0,19.0,0.0,183.0,25.8,5,183.0,6.0,1.0,153.0,105.0,75.0,26.0,22.0,12.0,15.0,9.0,4.0,114.0,73.0,53.0,18.0,21.0,4.0,10.0,63.0,627.0,9.0,1780.0
68,2006,0.0,1.0,0.0,0.0,128,1.0,188.0,19.0,0.0,188.0,28.1,5,134.0,6.0,3.0,80.0,57.0,43.0,16.0,15.0,2.0,4.0,5.0,2.0,101.0,60.0,40.0,19.0,16.0,6.0,12.0,63.0,627.0,25.0,1250.0
69,2006,0.0,1.0,0.0,0.0,128,1.0,188.0,19.0,0.0,193.0,19.7,5,153.0,7.0,4.0,101.0,59.0,44.0,28.0,17.0,3.0,6.0,6.0,3.0,101.0,48.0,35.0,29.0,16.0,5.0,9.0,63.0,627.0,28.0,1100.0
